Move,Word,Action
1,tale,Valid move
2,tyle,Invalid move
2,tane,Invalid move
2,hint,Moved to hinted word,tare
3,hint,Moved to hinted word,tyre
4,tyle,Invalid move
4,tyne,Found target
Move,Word,Action
1,hint,Moved to hinted word,yet
2,hint,Moved to hinted word,yes
3,hint,Moved to hinted word,des
Found target
Move,Word,Action
Move,Word,Action
1,hint,Moved to hinted word,fir
2,hint,Moved to hinted word,for
3,hint,Moved to hinted word,tor
4,hint,Moved to hinted word,tom
Found target
